./solvers/bonmin-nlw/JuniperLibSm/hydroenergy2.stdout:DATA, hydroenergy2.jl, 577, 192, 0, 857, Max, 371811.8757946033, NaN, Optimal, 14.736170053482056
./solvers/bonmin-nlw/JuniperLibSm/heatexch_gen2.stdout:DATA, heatexch_gen2.jl, 149, 16, 0, 167, Min, 667155.1519541661, NaN, Optimal, 48.52788591384888
./solvers/bonmin-nlw/JuniperLibSm/waterno2_24.stdout:DATA, waterno2_24.jl, 3985, 216, 0, 4943, Min, NaN, NaN, UserLimit, 16340.914027929306
./solvers/bonmin-nlw/JuniperLibSm/sssd18-08persp.stdout:DATA, sssd18-08persp.jl, 201, 168, 0, 83, Min, 0, NaN, Infeasible, 1.5101079940795898
./solvers/bonmin-nlw/JuniperLibSm/crudeoil_lee3_06.stdout:DATA, crudeoil_lee3_06.jl, 1537, 84, 0, 3360, Max, 78.00000028900976, NaN, UserLimit, 7563.922374010086
./solvers/bonmin-nlw/JuniperLibSm/squfl020-150persp.stdout:DATA, squfl020-150persp.jl, 6021, 20, 0, 6151, Min, 557.8478126020086, NaN, Optimal, 309.15325689315796
./solvers/bonmin-nlw/JuniperLibSm/crossdock_15x8.stdout:DATA, crossdock_15x8.jl, 241, 240, 0, 47, Min, NaN, NaN, UserLimit, 3689.7138447761536
./solvers/bonmin-nlw/JuniperLibSm/fo9_ar3_1.stdout:DATA, fo9_ar3_1.jl, 181, 0, 72, 436, Min, NaN, NaN, UserLimit, 3855.9717490673065
./solvers/bonmin-nlw/JuniperLibSm/multiplants_stg1b.stdout:DATA, multiplants_stg1b.jl, 476, 243, 0, 280, Max, 445.1078970128151, NaN, UserLimit, 3752.0303370952606
./solvers/bonmin-nlw/JuniperLibSm/tspn10.stdout:DATA, tspn10.jl, 66, 45, 0, 22, Min, NaN, NaN, Error, 0.4214670658111572
./solvers/bonmin-nlw/JuniperLibSm/graphpart_3pm-0334-0334.stdout:DATA, graphpart_3pm-0334-0334.jl, 109, 108, 0, 37, Min, -35.000001028836316, NaN, Optimal, 0.8065390586853027
./solvers/bonmin-nlw/JuniperLibSm/sssd25-04.stdout:DATA, sssd25-04.jl, 129, 112, 0, 58, Min, 300186.7690128396, NaN, Optimal, 75.81722903251648
./solvers/bonmin-nlw/JuniperLibSm/edgecross10-070.stdout:DATA, edgecross10-070.jl, 91, 90, 0, 481, Min, 716.99998987001, NaN, Optimal, 1.2636709213256836
./solvers/bonmin-nlw/JuniperLibSm/sssd15-08persp.stdout:DATA, sssd15-08persp.jl, 177, 144, 0, 80, Min, 0, NaN, Infeasible, 0.9767999649047852
./solvers/bonmin-nlw/JuniperLibSm/nuclearve.stdout:DATA, nuclearve.jl, 352, 168, 0, 318, Min, -1.0331482720015766, NaN, Optimal, 17.90676498413086
./solvers/bonmin-nlw/JuniperLibSm/sssd15-08.stdout:DATA, sssd15-08.jl, 177, 144, 0, 80, Min, 562708.3492637463, NaN, UserLimit, 4102.016026973724
./solvers/bonmin-nlw/JuniperLibSm/ndcc15persp.stdout:DATA, ndcc15persp.jl, 721, 40, 0, 347, Min, 94.611207098, NaN, Optimal, 46.36647701263428
./solvers/bonmin-nlw/JuniperLibSm/o7_ar25_1.stdout:DATA, o7_ar25_1.jl, 113, 0, 42, 270, Min, 145.8967357184531, NaN, UserLimit, 3916.5544879436493
./solvers/bonmin-nlw/JuniperLibSm/routingdelay_bigm.stdout:DATA, routingdelay_bigm.jl, 1124, 396, 0, 2978, Min, 146.62556803972052, NaN, Optimal, 229.32254099845886
./solvers/bonmin-nlw/JuniperLibSm/graphpart_2g-1010-0824.stdout:DATA, graphpart_2g-1010-0824.jl, 301, 300, 0, 101, Min, -6.7371172731182e6, NaN, Optimal, 1.5436711311340332
./solvers/bonmin-nlw/JuniperLibSm/nuclear49.stdout:DATA, nuclear49.jl, 5736, 2401, 0, 3874, Min, NaN, NaN, UserLimit, 3659.3643760681152
./solvers/bonmin-nlw/JuniperLibSm/graphpart_clique-30.stdout:DATA, graphpart_clique-30.jl, 91, 90, 0, 31, Min, 494.99995766151477, NaN, Optimal, 0.8551578521728516
./solvers/bonmin-nlw/JuniperLibSm/waternd2.stdout:DATA, waternd2.jl, 233, 72, 0, 250, Min, 1.0635462219123857e6, NaN, Optimal, 87.29485988616943
./solvers/bonmin-nlw/JuniperLibSm/crudeoil_li05.stdout:DATA, crudeoil_li05.jl, 941, 132, 0, 1917, Max, 3110.9344429503203, NaN, UserLimit, 3646.0704572200775
./solvers/bonmin-nlw/JuniperLibSm/no7_ar4_1.stdout:DATA, no7_ar4_1.jl, 113, 0, 42, 270, Min, 98.95005270063719, NaN, UserLimit, 3941.403461933136
./solvers/bonmin-nlw/JuniperLibSm/crudeoil_pooling_ct3.stdout:DATA, crudeoil_pooling_ct3.jl, 730, 128, 0, 1199, Min, NaN, NaN, UserLimit, 3655.5269899368286
./solvers/bonmin-nlw/JuniperLibSm/edgecross14-176.stdout:DATA, edgecross14-176.jl, 183, 182, 0, 1457, Min, 5874.99993128001, NaN, Optimal, 1.8844449520111084
./solvers/bonmin-nlw/JuniperLibSm/sssd15-06persp.stdout:DATA, sssd15-06persp.jl, 133, 108, 0, 64, Min, 0, NaN, Infeasible, 0.89565110206604
./solvers/bonmin-nlw/JuniperLibSm/ghg_2veh.stdout:DATA, ghg_2veh.jl, 58, 18, 0, 63, Min, 7.770904492447971, NaN, Optimal, 1.1032700538635254
./solvers/bonmin-nlw/JuniperLibSm/crudeoil_li02.stdout:DATA, crudeoil_li02.jl, 1298, 240, 0, 5005, Max, 1.014752654086862e8, NaN, UserLimit, 3627.1370210647583
./solvers/bonmin-nlw/JuniperLibSm/graphpart_3pm-0344-0344.stdout:DATA, graphpart_3pm-0344-0344.jl, 145, 144, 0, 49, Min, -46.00000135035697, NaN, Optimal, 0.8970069885253906
./solvers/bonmin-nlw/JuniperLibSm/bchoco08.stdout:DATA, bchoco08.jl, 169, 9, 0, 191, Max, 0, NaN, Infeasible, 13.370657205581665
./solvers/bonmin-nlw/JuniperLibSm/graphpart_3pm-0444-0444.stdout:DATA, graphpart_3pm-0444-0444.jl, 193, 192, 0, 65, Min, -63.00000189774787, NaN, Optimal, 1.0825810432434082
./solvers/bonmin-nlw/JuniperLibSm/sfacloc1_4_80.stdout:DATA, sfacloc1_4_80.jl, 356, 62, 0, 2235, Min, 7.97076238388812, NaN, Optimal, 71.75116395950317
./solvers/bonmin-nlw/JuniperLibSm/squfl020-150.stdout:DATA, squfl020-150.jl, 3021, 20, 0, 3151, Min, 557.848579531937, NaN, Optimal, 356.2520008087158
./solvers/bonmin-nlw/JuniperLibSm/squfl020-040.stdout:DATA, squfl020-040.jl, 821, 20, 0, 841, Min, 209.2548465373225, NaN, Optimal, 6.423938989639282
./solvers/bonmin-nlw/JuniperLibSm/multiplants_mtg1c.stdout:DATA, multiplants_mtg1c.jl, 245, 120, 0, 319, Max, 0, NaN, Infeasible, 28.380241870880127
./solvers/bonmin-nlw/JuniperLibSm/o7_ar3_1.stdout:DATA, o7_ar3_1.jl, 113, 0, 42, 270, Min, 143.91126573875894, NaN, UserLimit, 3924.109843015671
