./solvers/minotaur-bnb-nlw/JuniperLibSm/multiplants_mtg2.stdout:DATA, multiplants_mtg2.jl, 230, 112, 0, 307, Max, 7089.235168080291, NaN, UserLimit, 3606.7882080078125
./solvers/minotaur-bnb-nlw/JuniperLibSm/hydroenergy2.stdout:DATA, hydroenergy2.jl, 577, 192, 0, 857, Max, 371811.877513476, NaN, UserLimit, 3602.148656845093
./solvers/minotaur-bnb-nlw/JuniperLibSm/heatexch_gen2.stdout:DATA, heatexch_gen2.jl, 149, 16, 0, 167, Min, 0, NaN, Infeasible, 0.20116376876831055
./solvers/minotaur-bnb-nlw/JuniperLibSm/waterno2_24.stdout:DATA, waterno2_24.jl, 3985, 216, 0, 4943, Min, NaN, NaN, UserLimit, 3601.7624559402466
./solvers/minotaur-bnb-nlw/JuniperLibSm/sssd18-08persp.stdout:DATA, sssd18-08persp.jl, 201, 168, 0, 83, Min, 0, NaN, Infeasible, 0.2410569190979004
./solvers/minotaur-bnb-nlw/JuniperLibSm/crudeoil_lee3_06.stdout:DATA, crudeoil_lee3_06.jl, 1537, 84, 0, 3360, Max, NaN, NaN, UserLimit, 3602.9692718982697
./solvers/minotaur-bnb-nlw/JuniperLibSm/sepasequ_convent.stdout:DATA, sepasequ_convent.jl, 642, 20, 0, 1129, Min, 493.3601612537644, NaN, Optimal, 805.237536907196
./solvers/minotaur-bnb-nlw/JuniperLibSm/squfl020-150persp.stdout:DATA, squfl020-150persp.jl, 6021, 20, 0, 6151, Min, 595.601706568548, NaN, UserLimit, 4107.347995996475
./solvers/minotaur-bnb-nlw/JuniperLibSm/crossdock_15x8.stdout:DATA, crossdock_15x8.jl, 241, 240, 0, 47, Min, 16390.000000000004, NaN, UserLimit, 3605.5461659431458
./solvers/minotaur-bnb-nlw/JuniperLibSm/fo9_ar3_1.stdout:DATA, fo9_ar3_1.jl, 181, 0, 72, 436, Min, NaN, NaN, UserLimit, 3601.743406057358
./solvers/minotaur-bnb-nlw/JuniperLibSm/lop97ic.stdout:DATA, lop97ic.jl, 1754, 0, 1662, 92, Min, 0.0, NaN, UserLimit, 3603.366189956665
