./solvers/couenne-nlw/JuniperLibSm/chp_shorttermplan1b.stdout:DATA, chp_shorttermplan1b.jl, 1681, 288, 0, 3851, Min, 309.2987210623167, NaN, UserLimit, 3680.176129102707
./solvers/couenne-nlw/JuniperLibSm/crudeoil_lee4_08.stdout:DATA, crudeoil_lee4_08.jl, 3129, 152, 0, 6858, Max, NaN, NaN, UserLimit, 3607.7332260608673
./solvers/couenne-nlw/JuniperLibSm/supplychainr1_053050.stdout:DATA, supplychainr1_053050.jl, 5151, 1680, 0, 6581, Min, NaN, NaN, UserLimit, 3606.825962781906
./solvers/couenne-nlw/JuniperLibSm/crudeoil_pooling_ct4.stdout:DATA, crudeoil_pooling_ct4.jl, 534, 138, 0, 925, Max, 13241.269349970376, NaN, UserLimit, 3764.416543006897
./solvers/couenne-nlw/JuniperLibSm/sfacloc1_2_95.stdout:DATA, sfacloc1_2_95.jl, 172, 9, 0, 209, Min, 18.85006986146137, NaN, UserLimit, 3733.3333909511566
./solvers/couenne-nlw/JuniperLibSm/o7_2.stdout:DATA, o7_2.jl, 115, 42, 0, 212, Min, 129.08864438759957, NaN, UserLimit, 3713.007185935974
./solvers/couenne-nlw/JuniperLibSm/edgecross10-060.stdout:DATA, edgecross10-060.jl, 91, 44, 0, 481, Min, 459.00000000000017, NaN, Optimal, 122.91307997703552
./solvers/couenne-nlw/JuniperLibSm/super3t.stdout:DATA, super3t.jl, 1056, 44, 0, 1343, Min, -0.6402470046366453, NaN, UserLimit, 3626.965478181839
./solvers/couenne-nlw/JuniperLibSm/4stufen.stdout:DATA, 4stufen.jl, 150, 48, 0, 99, Min, NaN, NaN, UserLimit, 3658.8553218841553
./solvers/couenne-nlw/JuniperLibSm/portfol_shortfall200_05.stdout:DATA, portfol_shortfall200_05.jl, 805, 201, 0, 608, Min, -1.070235010230329, NaN, UserLimit, 3626.210371017456
./solvers/couenne-nlw/JuniperLibSm/squfl025-040.stdout:DATA, squfl025-040.jl, 1026, 25, 0, 1041, Min, 197.33346069872127, NaN, Optimal, 565.4505259990692
./solvers/couenne-nlw/JuniperLibSm/crudeoil_lee2_10.stdout:DATA, crudeoil_lee2_10.jl, 2311, 140, 0, 5432, Max, NaN, NaN, UserLimit, 3608.7799110412598
./solvers/couenne-nlw/JuniperLibSm/o7_ar4_1.stdout:DATA, o7_ar4_1.jl, 113, 0, 42, 270, Min, 136.731313659272, NaN, UserLimit, 3713.1486780643463
./solvers/couenne-nlw/JuniperLibSm/tls5.stdout:ANALYSIS TEST: DATA, tls5.jl, 162, 131, 5, 91, Min, NaN, NaN, Error, 0.4696199893951416
./solvers/couenne-nlw/JuniperLibSm/telecomsp_metro.stdout:DATA, telecomsp_metro.jl, 4285, 4200, 0, 5079, Min, NaN, NaN, UserLimit, 3803.4032249450684
./solvers/couenne-nlw/JuniperLibSm/ndcc16.stdout:DATA, ndcc16.jl, 1081, 60, 0, 378, Min, NaN, NaN, UserLimit, 3614.2612199783325
./solvers/couenne-nlw/JuniperLibSm/heatexch_spec1.stdout:DATA, heatexch_spec1.jl, 57, 12, 0, 65, Min, 155016.66223494124, NaN, UserLimit, 3766.2718319892883
./solvers/couenne-nlw/JuniperLibSm/multiplants_mtg6.stdout:DATA, multiplants_mtg6.jl, 350, 176, 0, 481, Max, 5276.440397452569, NaN, UserLimit, 3705.2497980594635
./solvers/couenne-nlw/JuniperLibSm/tls7.stdout:ANALYSIS TEST: DATA, tls7.jl, 346, 289, 7, 155, Min, NaN, NaN, Error, 0.5088620185852051
./solvers/couenne-nlw/JuniperLibSm/transswitch0009p.stdout:DATA, transswitch0009p.jl, 70, 9, 0, 140, Min, 5296.686125730936, NaN, UserLimit, 3811.8011779785156
./solvers/couenne-nlw/JuniperLibSm/watercontamination0202r.stdout:DATA, watercontamination0202r.jl, 196, 7, 0, 284, Min, 97.90443677034976, NaN, Optimal, 244.65879201889038
./solvers/couenne-nlw/JuniperLibSm/edgecross24-057.stdout:DATA, edgecross24-057.jl, 553, 552, 0, 8097, Min, 179.99999999999866, NaN, UserLimit, 3610.2371819019318
./solvers/couenne-nlw/JuniperLibSm/multiplants_mtg2.stdout:DATA, multiplants_mtg2.jl, 230, 112, 0, 307, Max, 7099.163974537453, NaN, UserLimit, 3721.924499988556
./solvers/couenne-nlw/JuniperLibSm/hydroenergy2.stdout:DATA, hydroenergy2.jl, 577, 192, 0, 857, Max, 371692.8689322311, NaN, UserLimit, 3748.0772190093994
./solvers/couenne-nlw/JuniperLibSm/heatexch_gen2.stdout:DATA, heatexch_gen2.jl, 149, 16, 0, 167, Min, NaN, NaN, UserLimit, 4036.1437718868256
./solvers/couenne-nlw/JuniperLibSm/waterno2_24.stdout:DATA, waterno2_24.jl, 3985, 216, 0, 4943, Min, NaN, NaN, UserLimit, 3608.330291032791
./solvers/couenne-nlw/JuniperLibSm/sssd18-08persp.stdout:DATA, sssd18-08persp.jl, 201, 168, 0, 83, Min, 1.0453551955426917e6, NaN, UserLimit, 3749.384765148163
./solvers/couenne-nlw/JuniperLibSm/crudeoil_lee3_06.stdout:DATA, crudeoil_lee3_06.jl, 1537, 84, 0, 3360, Max, NaN, NaN, UserLimit, 3604.0675020217896
./solvers/couenne-nlw/JuniperLibSm/squfl020-150persp.stdout:DATA, squfl020-150persp.jl, 6021, 20, 0, 6151, Min, 777.1095620830614, NaN, UserLimit, 3646.5706779956818
./solvers/couenne-nlw/JuniperLibSm/crossdock_15x8.stdout:DATA, crossdock_15x8.jl, 241, 240, 0, 47, Min, 17520.0, NaN, UserLimit, 3908.8898878097534
./solvers/couenne-nlw/JuniperLibSm/fo9_ar3_1.stdout:DATA, fo9_ar3_1.jl, 181, 0, 72, 436, Min, 41.301273277021316, NaN, UserLimit, 3708.2137620449066
./solvers/couenne-nlw/JuniperLibSm/multiplants_stg1b.stdout:DATA, multiplants_stg1b.jl, 476, 243, 0, 280, Max, NaN, NaN, UserLimit, 3716.5939269065857
./solvers/couenne-nlw/JuniperLibSm/tspn10.stdout:ANALYSIS TEST: DATA, tspn10.jl, 66, 45, 0, 22, Min, NaN, NaN, Error, 0.4835081100463867
./solvers/couenne-nlw/JuniperLibSm/graphpart_3pm-0334-0334.stdout:DATA, graphpart_3pm-0334-0334.jl, 109, 108, 0, 37, Min, -36.0, NaN, Optimal, 67.55208086967468
./solvers/couenne-nlw/JuniperLibSm/sssd25-04.stdout:DATA, sssd25-04.jl, 129, 112, 0, 58, Min, 304125.5077804166, NaN, UserLimit, 3711.1195669174194
./solvers/couenne-nlw/JuniperLibSm/edgecross10-070.stdout:DATA, edgecross10-070.jl, 91, 90, 0, 481, Min, 716.9999788133098, NaN, Optimal, 431.5195610523224
./solvers/couenne-nlw/JuniperLibSm/sssd15-08persp.stdout:DATA, sssd15-08persp.jl, 177, 144, 0, 80, Min, 772764.0843128363, NaN, UserLimit, 3753.734214067459
./solvers/couenne-nlw/JuniperLibSm/nuclearve.stdout:DATA, nuclearve.jl, 352, 168, 0, 318, Min, NaN, NaN, UserLimit, 3724.0321860313416
./solvers/couenne-nlw/JuniperLibSm/sssd15-08.stdout:DATA, sssd15-08.jl, 177, 144, 0, 80, Min, 572320.2391702263, NaN, UserLimit, 3703.9609661102295
./solvers/couenne-nlw/JuniperLibSm/ndcc15persp.stdout:DATA, ndcc15persp.jl, 721, 40, 0, 347, Min, NaN, NaN, UserLimit, 3615.524349927902
./solvers/couenne-nlw/JuniperLibSm/o7_ar25_1.stdout:DATA, o7_ar25_1.jl, 113, 0, 42, 270, Min, 144.07864416932034, NaN, UserLimit, 3711.7877061367035
./solvers/couenne-nlw/JuniperLibSm/routingdelay_bigm.stdout:DATA, routingdelay_bigm.jl, 1124, 396, 0, 2978, Min, 145.69424999999995, NaN, UserLimit, 3631.1544659137726
./solvers/couenne-nlw/JuniperLibSm/graphpart_2g-1010-0824.stdout:DATA, graphpart_2g-1010-0824.jl, 301, 300, 0, 101, Min, -7.024864e6, NaN, Optimal, 163.98790788650513
./solvers/couenne-nlw/JuniperLibSm/nuclear49.stdout:DATA, nuclear49.jl, 5736, 2401, 0, 3874, Min, NaN, NaN, UserLimit, 3609.758644104004
./solvers/couenne-nlw/JuniperLibSm/graphpart_clique-30.stdout:DATA, graphpart_clique-30.jl, 91, 90, 0, 31, Min, 495.0, NaN, Optimal, 3307.1544539928436
./solvers/couenne-nlw/JuniperLibSm/waternd2.stdout:DATA, waternd2.jl, 233, 72, 0, 250, Min, NaN, NaN, UserLimit, 3650.1277079582214
./solvers/couenne-nlw/JuniperLibSm/crudeoil_li05.stdout:DATA, crudeoil_li05.jl, 941, 132, 0, 1917, Max, 3034.217987170518, NaN, UserLimit, 3686.862643957138
./solvers/couenne-nlw/JuniperLibSm/no7_ar4_1.stdout:DATA, no7_ar4_1.jl, 113, 0, 42, 270, Min, 105.37999596333107, NaN, UserLimit, 3703.1604900360107
./solvers/couenne-nlw/JuniperLibSm/crudeoil_pooling_ct3.stdout:DATA, crudeoil_pooling_ct3.jl, 730, 128, 0, 1199, Min, 335273.84588566027, NaN, UserLimit, 3616.7650179862976
./solvers/couenne-nlw/JuniperLibSm/edgecross14-176.stdout:DATA, edgecross14-176.jl, 183, 182, 0, 1457, Min, 0, NaN, Infeasible, 1799.1445388793945
./solvers/couenne-nlw/JuniperLibSm/sssd15-06persp.stdout:DATA, sssd15-06persp.jl, 133, 108, 0, 64, Min, 862690.832918632, NaN, UserLimit, 3766.8910360336304
./solvers/couenne-nlw/JuniperLibSm/ghg_2veh.stdout:DATA, ghg_2veh.jl, 58, 18, 0, 63, Min, 7.776212120455778, NaN, UserLimit, 3648.7404651641846
./solvers/couenne-nlw/JuniperLibSm/crudeoil_li02.stdout:DATA, crudeoil_li02.jl, 1298, 240, 0, 5005, Max, 1.0156107238677703e8, NaN, UserLimit, 3604.648845911026
./solvers/couenne-nlw/JuniperLibSm/graphpart_3pm-0344-0344.stdout:DATA, graphpart_3pm-0344-0344.jl, 145, 144, 0, 49, Min, -48.0, NaN, Optimal, 1318.5699768066406
./solvers/couenne-nlw/JuniperLibSm/bchoco08.stdout:DATA, bchoco08.jl, 169, 9, 0, 191, Max, NaN, NaN, UserLimit, 3737.096153974533
./solvers/couenne-nlw/JuniperLibSm/graphpart_3pm-0444-0444.stdout:DATA, graphpart_3pm-0444-0444.jl, 193, 192, 0, 65, Min, -65.0, NaN, UserLimit, 3695.8734951019287
./solvers/couenne-nlw/JuniperLibSm/sfacloc1_4_80.stdout:DATA, sfacloc1_4_80.jl, 356, 62, 0, 2235, Min, 8.416578611143914, NaN, UserLimit, 3621.021129131317
./solvers/couenne-nlw/JuniperLibSm/squfl020-150.stdout:DATA, squfl020-150.jl, 3021, 20, 0, 3151, Min, 577.2275662982714, NaN, UserLimit, 3718.769793987274
./solvers/couenne-nlw/JuniperLibSm/squfl020-040.stdout:DATA, squfl020-040.jl, 821, 20, 0, 841, Min, 209.25473134879576, NaN, Optimal, 80.78370499610901
./solvers/couenne-nlw/JuniperLibSm/multiplants_mtg1c.stdout:DATA, multiplants_mtg1c.jl, 245, 120, 0, 319, Max, 682.8955695079693, NaN, UserLimit, 3734.820872783661
