./solvers/juniper/JuniperLib/crudeoil_pooling_dt2.stdout:DATA, crudeoil_pooling_dt2.jl,4963,1270,0,8179, Max, NaN, NaN, UserLimit,3859.41076683998
./solvers/juniper/JuniperLib/crudeoil_pooling_dt3.stdout:DATA, crudeoil_pooling_dt3.jl,9434,1638,0,13835, Min,0, NaN, Infeasible,2050.94948506355
./solvers/juniper/JuniperLib/crudeoil_pooling_dt4.stdout:DATA, crudeoil_pooling_dt4.jl,5063,1326,0,7699, Max,0, NaN, Infeasible,1025.2528719902
./solvers/juniper/JuniperLib/csched1.stdout:DATA, csched1.jl,77,63,0,23, Min,-30639.2578476335,-30639.2578476335, Optimal,8.23604202270508
./solvers/juniper/JuniperLib/csched1a.stdout:DATA, csched1a.jl,29,15,0,23, Min, NaN, NaN, UserLimit,9.13615608215332
./solvers/juniper/JuniperLib/csched2.stdout:DATA, csched2.jl,401,308,0,138, Min,0, NaN, Unbounded,2.16802096366882
./solvers/juniper/JuniperLib/csched2a.stdout:DATA, csched2a.jl,233,140,0,138, Min, NaN, NaN, UserLimit,23.4031789302826
./solvers/juniper/JuniperLib/cvxnonsep_normcon20r.stdout:DATA, cvxnonsep_normcon20r.jl,41,0,10,22, Min,-21.7491473798216,-21.7491473798216, Optimal,0.530301094055176
./solvers/juniper/JuniperLib/cvxnonsep_normcon30r.stdout:DATA, cvxnonsep_normcon30r.jl,61,0,15,32, Min,-34.2439657846541,-34.2439657846541, Optimal,1.09011292457581
./solvers/juniper/JuniperLib/cvxnonsep_normcon40r.stdout:DATA, cvxnonsep_normcon40r.jl,81,0,20,42, Min,-32.6296697510428,-32.6324062565661, Optimal,3.06361389160156
./solvers/juniper/JuniperLib/cvxnonsep_nsig20r.stdout:DATA, cvxnonsep_nsig20r.jl,41,0,10,22, Min,80.9492785473571,80.9492785473571, Optimal,0.57950496673584
./solvers/juniper/JuniperLib/cvxnonsep_nsig30r.stdout:DATA, cvxnonsep_nsig30r.jl,61,0,15,32, Min,156.426616467057,156.426586019921, Optimal,1.29434204101563
./solvers/juniper/JuniperLib/cvxnonsep_nsig40r.stdout:DATA, cvxnonsep_nsig40r.jl,81,0,20,42, Min,133.961267857674,133.959534539633, Optimal,1.39529895782471
./solvers/juniper/JuniperLib/cvxnonsep_pcon20r.stdout:DATA, cvxnonsep_pcon20r.jl,40,0,10,21, Min,-21.5123012127342,-21.5123012127342, Optimal,1.72803211212158
./solvers/juniper/JuniperLib/cvxnonsep_pcon30r.stdout:DATA, cvxnonsep_pcon30r.jl,60,0,15,31, Min,-35.9868423260863,-35.9871431337765, Optimal,1.47647094726563
